file,pattern,target,line_number,suggested_category,rationale
tests/_fakes/dataset_source.py,MagicMock_spec,DatasetSourceLocal,50,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/_fakes/dataset_source.py,MagicMock_spec,DatasetSourceHF,61,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/_fakes/provider_context.py,MagicMock_other,,58,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_bare,,136,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,148,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_other,,150,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_bare,,153,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,169,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,172,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,200,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_other,,207,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_bare,,213,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,221,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,251,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,254,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,259,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,262,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,267,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,270,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,285,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,407,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,408,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,415,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,421,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,424,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,439,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,460,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,477,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,480,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_other,,491,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_bare,,499,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,502,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,682,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_other,,683,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_other,,687,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_bare,,716,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_bare,,747,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/conftest.py,MagicMock_other,,748,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_other,,750,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_other,,751,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/conftest.py,MagicMock_other,,755,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/e2e/control/test_dataset_flow_new_schema_e2e.py,MagicMock_bare,,139,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_dataset_flow_new_schema_e2e.py,patch_object_context_manager,deployment._file_uploader._upload_files_batch,143,REFACTOR,patch.object on private attr — test smell
tests/e2e/control/test_dataset_flow_new_schema_e2e.py,patch_object_context_manager,deployment._code_syncer.sync,144,REFACTOR,patch.object on private attr — test smell
tests/e2e/control/test_dataset_flow_new_schema_e2e.py,MagicMock_bare,,170,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_dataset_flow_new_schema_e2e.py,MagicMock_bare,,172,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_dataset_flow_new_schema_e2e.py,patch_context_manager,ryotenkai_pod.trainer.orchestrator.dataset_loader.load_dataset,175,JUDGMENT,internal target; consider dep-injection or Fake
tests/e2e/control/test_stages_integration.py,MagicMock_spec,PipelineStage,27,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/e2e/control/test_stages_integration.py,MagicMock_spec,PipelineStage,51,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/e2e/control/test_stages_integration.py,MagicMock_spec,PipelineStage,75,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/e2e/control/test_stages_integration.py,MagicMock_spec,PipelineStage,102,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/e2e/control/test_stages_integration.py,MagicMock_spec,PipelineStage,128,JUDGMENT,MagicMock(spec=ConcreteClass) -> Fake or real construct
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,38,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,54,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,57,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,73,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,76,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,79,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,94,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/e2e/control/test_strategy_orchestrator_e2e.py,MagicMock_bare,,108,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,136,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,148,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_other,,150,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_bare,,153,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,169,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,172,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,200,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_other,,207,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_bare,,213,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,221,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,251,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,254,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,259,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,262,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,267,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,270,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,285,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,407,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,408,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,415,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,421,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,424,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,439,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,460,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,477,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,480,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_other,,491,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_bare,,499,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,502,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,682,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_other,,683,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_other,,687,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_bare,,716,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_bare,,747,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/conftest.py,MagicMock_other,,748,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_other,,750,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_other,,751,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/conftest.py,MagicMock_other,,755,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_llm_pipeline_datas_contract.py,MagicMock_bare,,179,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_llm_pipeline_datas_contract.py,patch_object_context_manager,deployment._upload_files_batch,183,REFACTOR,patch.object on private attr — test smell
tests/integration/control/test_llm_pipeline_datas_contract.py,patch_object_context_manager,deployment._sync_source_code,184,REFACTOR,patch.object on private attr — test smell
tests/integration/control/test_llm_pipeline_datas_contract.py,MagicMock_bare,,290,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,54,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,68,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_other,,69,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_other,,69,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,71,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,72,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,73,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_other,,74,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,75,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,76,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,79,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,83,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,84,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,98,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,140,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,150,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_other,,151,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_other,,151,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,153,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,154,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_other,,155,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,156,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,159,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,183,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,184,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,188,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_phase_executor_restart_flow.py,MagicMock_bare,,197,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,47,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,99,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,103,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,104,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,110,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,111,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,112,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,113,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,119,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,120,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,122,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,123,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,169,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,173,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_other,,174,MECHANICAL,MagicMock(return_value=...) -> small Fake or factory
tests/integration/control/test_strategy_orchestrator_restart_flow.py,MagicMock_bare,,180,MECHANICAL,bare MagicMock data carrier -> SimpleNamespace
